"goods_nomenclature_item_id";"regexp_replace"
"0302520000";"Haddock (Melanogrammus aeglefinus)"
"0302530000";"Coalfish (Pollachius virens)"
"0302540000";"Hake (Merluccius spp., Urophycis spp.)"
"0302550000";"Alaska pollack (Theragra chalcogramma)"
"0302550000";"Alaska pollock (Theragra chalcogramma)"
"0302560000";"Blue whiting (Micromesistius poutassou, Micromesistius australis)"
"0302590000";"Other"
"0302610000";"Other fish, excluding livers and roes"
"0302610000";"Sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus)"
"0302620000";"Haddock (Melanogrammus aeglefinus)"
"0302630000";"Coalfish (Pollachius virens)"
"0302640000";"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)"
"0302650000";"Dogfish and other sharks"
"0302660000";"Eels (Anguilla spp.)"
"0302670000";"Swordfish (Xiphias gladius)"
"0302680000";"Toothfish (Dissostichus spp.)"
"0302690000";"Other"
"0302700000";"Livers and roes"
"0302710000";"Tilapia (Oreochromis spp.)"
"0302710000";"Tilapia (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carp (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus), eels (Anguilla spp.), Nile perch (Lates niloticus) and snakeheads (Channa spp.), excluding livers and roes"
"0302710000";"Tilapias (Oreochromis spp.)"
"0302710000";"Tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), Carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp), eels (Anguilla spp.), Nile perch (Lates niloticus) and snakeheads (Channa spp.), excluding edible fish offal of subheadings 0302|91|to 0302|99"
"0302710000";"Tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), eels (Anguilla spp.), Nile perch (Lates niloticus) and snakeheads (Channa spp.), excluding edible fish offal of subheadings 0302|91|to 0302|99"
"0302720000";"Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)"
"0302730000";"Carp (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus)"
"0302730000";"Carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)"
"0302740000";"Eels (Anguilla spp.)"
"0302790000";"Other"
"0302810000";"Dogfish and other sharks"
"0302810000";"Other fish, excluding edible fish offal of subheadings 0302|91|to 0302|99"
"0302810000";"Other fish, excluding livers and roes"
"0302820000";"Rays and skates (Rajidae)"
"0302830000";"Toothfish (Dissostichus spp.)"
"0302830000";"Toothfish (Dissostichus|spp.)"
"0302840000";"Sea bass (Dicentrarchus spp.)"
"0302840000";"Sea bass (Dicentrarchus|spp.)"
"0302850000";"Sea bream (Sparidae)"
"0302890000";"Other"
"0302900000";"Livers and roes"
"0302910000";"Livers, roes and milt"
"0302910000";"Livers, roes, milt, fish fins, heads, tails, maws and other edible fish offal"
"0302920000";"Shark fins"
"0302990000";"Other"
"0303100000";"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Onchorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou, and Oncorhynchus chrysogaster), excluding livers and roes"
"0303100000";"Pacific salmon (Oncorhynchus spp.), excluding livers and roes"
"0303110000";"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), excluding livers and roes"
"0303110000";"Salmonidae, excluding edible fish offal of subheadings 0303|91|to 0303|99"
"0303110000";"Salmonidae, excluding livers and roes"
"0303110000";"Sockeye salmon (red salmon) (Oncorhynchus nerka)"
"0303120000";"Other Pacific salmon (Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus)"
"0303130000";"Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)"
"0303140000";"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)"
"0303190000";"Other"
"0303210000";"Other salmonidae, excluding livers and roes"
"0303210000";"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)"
"0303210000";"Trout (Salmo trutta, Salmo gairdneri, Salmo clarki, Salmo aguabonita, Salmo gilae)"
"0303220000";"Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)"
"0303230000";"Tilapia (Oreochromis spp.)"
"0303230000";"Tilapia (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carp (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus), eels (Anguilla spp.), Nile perch (Lates niloticus) and snakeheads (Channa spp.), excluding livers and roes"
"0303230000";"Tilapia (Oreochromis|spp.)"
"0303230000";"Tilapia (Oreochromis|spp.), catfish (Pangasius|spp., Silurus|spp., Clarias|spp., Ictalurus|spp.), carp (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys|spp., Cirrhinus|spp., Mylopharyngodon piceus), eels (Anguilla|spp.), Nile perch (Lates niloticus) and snakeheads (Channa|spp.), excluding livers and roes"
"0303230000";"Tilapias (Oreochromis spp.)"
"0303230000";"Tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), eels (Anguilla spp.), Nile perch (Lates niloticus) and snakeheads (Channa spp.), excluding edible fish offal of subheadings 0303|91|to 0303|99"
"0303240000";"Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)"
"0303240000";"Catfish (Pangasius|spp., Silurus|spp., Clarias|spp., Ictalurus|spp.)"
"0303250000";"Carp (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus)"
"0303250000";"Carp (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys|spp., Cirrhinus|spp., Mylopharyngodon piceus)"
"0303250000";"Carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)"
"0303260000";"Eels (Anguilla spp.)"
"0303260000";"Eels (Anguilla|spp.)"
"0303290000";"Other"
"0303310000";"Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae), excluding edible fish offal of subheadings 0303|91|to 0303|99"
"0303310000";"Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae), excluding livers and roes"
"0303310000";"Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)"
"0303320000";"Plaice (Pleuronectes platessa)"
"0303330000";"Sole (Solea spp.)"
"0303330000";"Sole (Solea|spp.)"
"0303340000";"Turbot (Psetta maxima)"
"0303340000";"Turbots (Psetta maxima)"
"0303390000";"Other"
"0303410000";"Albacore or longfinned tuna (Thunnus alalunga)"
"0303410000";"Albacore or longfinned tunas (Thunnus alalunga)"
"0303410000";"Tuna (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding livers and roes"
"0303410000";"Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding edible fish offal of subheadings 0303|91|to 0303|99"
"0303410000";"Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding livers and roes"
"0303420000";"Yellowfin tuna (Thunnus albacares)"
"0303420000";"Yellowfin tunas (Thunnus albacares)"
"0303430000";"Skipjack or stripe-bellied bonito"
"0303440000";"Bigeye tuna (Thunnus obesus)"
"0303450000";"Atlantic and Pacific bluefin tuna (Thunnus thynnus, Thunnus orientalis)"
"0303450000";"Bluefin tunas (Thunnus thynnus)"
"0303460000";"Southern bluefin tuna (Thunnus maccoyii)"
"0303490000";"Other"
"0303500000";"Herrings (Clupea harengus, Clupea pallasii), excluding livers and roes"
"0303510000";"Herring (Clupea harengus, Clupea pallasii)"
"0303510000";"Herring (Clupea harengus, Clupea pallasii), sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), jack and horse mackerel (Trachurus spp.), cobia (Rachycentron canadum) and swordfish (Xiphias gladius), excluding livers and roes"
"0303510000";"Herring (Clupea harengus, Clupea pallasii), sardines (Sardina pilchardus, Sardinops|spp.), sardinella (Sardinella|spp.), brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), jack and horse mackerel (Trachurus|spp.), cobia (Rachycentron canadum) and swordfish (Xiphias gladius), excluding livers and roes"
"0303510000";"Herrings (Clupea harengus, Clupea pallasii)"
"0303510000";"Herrings (Clupea harengus, Clupea pallasii) and cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), excluding livers and roes"
"0303510000";"Herrings (Clupea harengus, Clupea pallasii), anchovies (Engraulis spp.), sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), Indian mackerels (Rastrelliger spp.), seerfishes (Scomberomorus spp.), jack and horse mackerel (Trachurus spp.), jacks, crevalles (Caranx spp.), cobia (Rachycentron canadum), silver pomfrets (Pampus spp.), Pacific saury (Cololabis saira), scads (Decapterus spp.), capelin (Mallotus villosus), swordfish (Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos (Sarda spp.), marlins, sailfishes, spearfish (Istiophoridae), excluding edible fish offal of subheadings 0303|91|to 0303|99"
"0303520000";"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)"
"0303530000";"Sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus)"
"0303540000";"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)"
"0303550000";"Jack and horse mackerel (Trachurus spp.)"
"0303560000";"Cobia (Rachycentron canadum)"
"0303570000";"Swordfish (Xiphias gladius)"
"0303590000";"Other"
"0303600000";"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), excluding livers and roes"
"0303610000";"Swordfish (Xiphias gladius)"
"0303610000";"Swordfish (Xiphias gladius) and toothfish (Dissostichus spp.), excluding livers and roes"
"0303620000";"Toothfish (Dissostichus spp.)"
"0303630000";"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)"
"0303630000";"Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, excluding edible fish offal of subheadings 0303|91|to 0303|99"
"0303630000";"Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, excluding livers and roes"
"0303640000";"Haddock (Melanogrammus aeglefinus)"
"0303650000";"Coalfish (Pollachius virens)"
"0303660000";"Hake (Merluccius spp., Urophycis spp.)"
"0303660000";"Hake (Merluccius|spp., Urophycis|spp.)"
"0303670000";"Alaska pollack (Theragra chalcogramma)"
"0303670000";"Alaska pollock (Theragra chalcogramma)"
"0303680000";"Blue whiting (Micromesistius poutassou, Micromesistius australis)"
"0303690000";"Other"
"0303710000";"Other fish, excluding livers and roes"
"0303710000";"Sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus)"
"0303720000";"Haddock (Melanogrammus aeglefinus)"
"0303730000";"Coalfish (Pollachius virens)"
"0303740000";"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)"
"0303750000";"Dogfish and other sharks"
"0303760000";"Eels (Anguilla spp.)"
"0303770000";"Sea bass (Dicentrarchus labrax, Dicentrarchus punctatus)"
"0303780000";"Hake (Merluccius spp., Urophycis spp.)"
"0303790000";"Other"
"0303800000";"Livers and roes"
"0303810000";"Dogfish and other sharks"
"0303810000";"Other fish, excluding edible fish offal of subheadings 0303|91|to 0303|99"
"0303810000";"Other fish, excluding livers and roes"
"0303820000";"Rays and skates (Rajidae)"
"0303830000";"Toothfish (Dissostichus spp.)"
"0303830000";"Toothfish (Dissostichus|spp.)"
"0303840000";"Sea bass (Dicentrarchus spp.)"
"0303840000";"Sea bass (Dicentrarchus|spp.)"
"0303890000";"Other"
"0303900000";"Livers and roes"
"0303910000";"Livers, roes and milt"
"0303910000";"Livers, roes, milt, fish fins, heads, tails, maws and other edible fish offal"
"0303920000";"Shark fins"
"0303990000";"Other"
"0304100000";"Fresh or chilled"
"0304110000";"Fresh or chilled"
"0304110000";"Swordfish (Xiphias gladius)"
"0304120000";"Toothfish (Dissostichus spp.)"
"0304190000";"Other"
"0304200000";"Frozen fillets"
"0304210000";"Frozen fillets"
"0304210000";"Swordfish (Xiphias gladius)"
"0304220000";"Toothfish (Dissostichus spp.)"
"0304290000";"Other"
"0304310000";"Fresh or chilled fillets of tilapia (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carp (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus), eels (Anguilla spp.), Nile perch (Lates niloticus) and snakeheads (Channa spp.)"
"0304310000";"Fresh or chilled fillets of tilapia (Oreochromis|spp.), catfish (Pangasius|spp., Silurus|spp., Clarias|spp., Ictalurus|spp.), carp (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys|spp., Cirrhinus|spp., Mylopharyngodon piceus), eels (Anguilla|spp.), Nile perch (Lates niloticus) and snakeheads (Channa|spp.)"
