Quota order number,Country,method,EU quota,% of EU quota,New quota,Total admin days,Admin days after 30.03.19,Quota volume on 30.03.19 (unrounded),Quota volume to be opened on 30 Mar 2019,Standard volume,start date,measurement_unit,origin_quota,Notes
092130,faroeislands,FCFS,20000,0.1362,2724,365,277,2067,2000,3000,01/01/2020,,,"These three quotas are linked.  When volume is used under any quota, that amount is deducted from all three quotas.  They are administered as three separate quotas, because a different coefficient is applicable to calculate the carcass weight equivalent of differnt commodities. "
091921,chile,FCFS,,,1516000,365,277,1150499,1150000,1574000,01/01/2020,,,
091922,chile,FCFS,,,866000,365,277,657211,657000,899000,01/01/2020,,,
091923,chile,FCFS,,,10477000,365,277,7951038,7951000,10880000,01/01/2020,,,
091924,chile,FCFS,,,450000,365,277,341507,342000,462000,01/01/2020,,,
091925,chile,FCFS,,,159000,365,277,120666,121000,163000,01/01/2020,,,
091926,chile,FCFS,,,300000,365,277,227671,228000,308000,01/01/2020,,,
091927,chile,FCFS,,,150000,365,277,113836,114000,154000,01/01/2020,,,
091928,chile,FCFS,,,300000,365,277,227671,228000,308000,01/01/2020,,,
091931,chile,FCFS,,,67000,365,277,50847,51000,67000,01/01/2020,,,
091932,chile,FCFS,,,67000,365,277,50847,51000,67000,01/01/2020,,,
091933,chile,FCFS,,,83000,365,277,62989,63000,83000,01/01/2020,,,
091934,chile,FCFS,,,833000,365,277,632167,632000,833000,01/01/2020,,,
091935,chile,FCFS,,,7000,365,277,5312,5000,7000,01/01/2020,,,
091936,chile,FCFS,,,25000,365,277,18973,19000,25000,01/01/2020,,,
091944,chile,FCFS,,,167000,365,277,126737,127000,167000,01/01/2020,,,
092115,chile,FCFS,,,866000,365,277,657211,657000,899000,01/01/2020,,,
092116,chile,FCFS,,,866000,365,277,657211,657000,899000,01/01/2020,,,
094181,chile,Licensed,,,425000,365,277,322534,323000,442000,01/07/2019,,,
091300,israel,FCFS,,,9689000,181,93,4978326,4978000,9689000,01/01/2020,,,
091302,israel,FCFS,,,177000,365,277,134326,134000,177000,01/01/2020,,,
091303,israel,FCFS,,,2349000,365,277,1782666,1783000,2349000,01/01/2020,,,
091304,israel,FCFS,,,3814000,365,277,2894460,2894000,3814000,01/01/2020,,,
091306,israel,FCFS,,,3023000,365,277,2294167,2294000,3023000,01/01/2020,,,
091323,israel,FCFS,,,30509000,365,277,23153405,23153000,30509000,01/01/2020,,,
091331,israel,FCFS,,,4767000,365,277,3617696,3618000,4767000,01/01/2020,,,
091333,israel,FCFS,,,2898000,365,277,2199304,2199000,2898000,01/01/2020,,,
091341,israel,FCFS,,,1068000,166,17,109373,109000,1068000,01/11/2019,,,
091342,israel,FCFS,,,681000,365,277,516814,517000,681000,01/01/2020,,,
091353,israel,FCFS,,,1444000,365,277,1095858,1096000,1444000,01/01/2020,,,
091354,israel,FCFS,,,735000,365,277,557795,558000,735000,01/01/2020,,,
091361,israel,FCFS,,,17695,365,277,13429,13000,17695,01/01/2020,NAR,,
091368,israel,FCFS,,,136000,365,277,103211,103000,136000,01/01/2020,,,
091369,israel,FCFS,,,163000,365,277,123701,124000,163000,01/01/2020,,,
091370,israel,FCFS,,,5448000,365,277,4134510,4135000,5448000,01/01/2020,,,
091371,israel,FCFS,,,2136000,200,185,1975800,1976000,2136000,01/01/2020,,,
091372,israel,FCFS,,,681000,365,277,516814,517000,681000,01/01/2020,,,
091373,israel,FCFS,,,272000,365,277,206422,206000,272000,01/01/2020,,,
091374,israel,FCFS,,,14000,365,277,10625,11000,14000,01/01/2020,,,
091375,israel,FCFS,,,341000,365,277,258786,259000,341000,01/01/2020,,,
091376,israel,FCFS,,,436000,365,277,330882,331000,436000,01/01/2020,,,
091377,israel,FCFS,,,107000,365,277,81203,81000,107000,01/01/2020,,,
091378,israel,FCFS,,,15000,365,277,11384,11000,15000,01/01/2020,,,
091379,israel,FCFS,,,2677000,365,277,2031586,2032000,2677000,01/01/2020,,,
091380,israel,FCFS,,,121600,365,277,92283,92000,121600,01/01/2020,LTR,,
091397,israel,FCFS,,,4086000,304,63,846770,847000,4086000,01/08/2019,,,
091398,israel,FCFS,,,681000,181,32,120398,120000,681000,01/11/2019,,,
091399,israel,FCFS,,,34000,365,277,25803,26000,34000,01/01/2020,,,
094901,israel,Licensed,,,545000,365,277,413603,414000,545000,01/01/2020,,,
094902,israel,Licensed,,,76000,365,277,57677,58000,76000,01/01/2020,,,
