"goods_nomenclature_sid","goods_nomenclature_item_id","producline_suffix","validity_start_date","validity_end_date","description","number_indents","goods_nomenclature_description_period_sid","desc_validity_start_date","desc_validity_end_date","nice_description","hs_chapter","hs_section","node","leaf","significant_digits"
96756,"0102290500","80","2013-01-01 00:00:00",NULL,"Of the sub-genus Bibos or of the sub-genus Poephagus",3,121696,"2014-01-01 00:00:00",NULL," - - - Of the sub-genus Bibos or of the sub-genus Poephagus","01",1,"01022905","1",8
96757,"0102291000","10","2013-01-01 00:00:00",NULL,"Other",3,121697,"2014-01-01 00:00:00",NULL," - - - Other","01",1,"01022910","0",8
94057,"0102291000","80","2012-01-01 00:00:00",NULL,"Of a weight not exceeding 80|kg",4,147433,"2019-01-01 00:00:00",NULL," - - - - Of a weight not exceeding 80|kg","01",1,"01022910","0",8
94058,"0102291010","80","2012-01-01 00:00:00",NULL,"Young male bovine animals, intended for fattening",5,116325,"2012-01-01 00:00:00",NULL," - - - - - Young male bovine animals, intended for fattening","01",1,"0102291010","1",10
94059,"0102291020","80","2012-01-01 00:00:00",NULL,"Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed, other than for slaughter",5,116326,"2012-01-01 00:00:00",NULL," - - - - - Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed, other than for slaughter","01",1,"0102291020","1",10
94060,"0102291030","80","2012-01-01 00:00:00",NULL,"Heifers of the Schwyz and Fribourg breeds, other than for slaughter",5,116327,"2012-01-01 00:00:00",NULL," - - - - - Heifers of the Schwyz and Fribourg breeds, other than for slaughter","01",1,"0102291030","1",10
94061,"0102291040","80","2012-01-01 00:00:00",NULL,"Heifers of the spotted Simmental breed, other than for slaughter",5,116328,"2012-01-01 00:00:00",NULL," - - - - - Heifers of the spotted Simmental breed, other than for slaughter","01",1,"0102291040","1",10
94062,"0102291050","80","2012-01-01 00:00:00",NULL,"Bulls of the Schwyz, Fribourg and spotted Simmental breeds, other than for slaughter",5,116329,"2012-01-01 00:00:00",NULL," - - - - - Bulls of the Schwyz, Fribourg and spotted Simmental breeds, other than for slaughter","01",1,"0102291050","1",10
94063,"0102291090","80","2012-01-01 00:00:00",NULL,"Other",5,116330,"2012-01-01 00:00:00",NULL," - - - - - Other","01",1,"0102291090","1",10
94064,"0102292100","10","2012-01-01 00:00:00",NULL,"Of a weight exceeding 80|kg but not exceeding 160|kg",4,147434,"2019-01-01 00:00:00",NULL," - - - - Of a weight exceeding 80|kg but not exceeding 160|kg","01",1,"01022921","0",8
94065,"0102292100","80","2012-01-01 00:00:00",NULL,"For slaughter",5,121700,"2014-01-01 00:00:00",NULL," - - - - - For slaughter","01",1,"01022921","1",8
94066,"0102292900","80","2012-01-01 00:00:00",NULL,"Other",5,121701,"2014-01-01 00:00:00",NULL," - - - - - Other","01",1,"01022929","0",8
94067,"0102292910","80","2012-01-01 00:00:00",NULL,"Young male bovine animals, intended for fattening",6,116334,"2012-01-01 00:00:00",NULL," - - - - - - Young male bovine animals, intended for fattening","01",1,"0102292910","1",10
94068,"0102292920","80","2012-01-01 00:00:00",NULL,"Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed",6,116335,"2012-01-01 00:00:00",NULL," - - - - - - Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed","01",1,"0102292920","1",10
94069,"0102292930","80","2012-01-01 00:00:00",NULL,"Heifers of the Schwyz and Fribourg breeds",6,116336,"2012-01-01 00:00:00",NULL," - - - - - - Heifers of the Schwyz and Fribourg breeds","01",1,"0102292930","1",10
94070,"0102292940","80","2012-01-01 00:00:00",NULL,"Heifers of the spotted Simmental breed",6,116337,"2012-01-01 00:00:00",NULL," - - - - - - Heifers of the spotted Simmental breed","01",1,"0102292940","1",10
94071,"0102292950","80","2012-01-01 00:00:00",NULL,"Bulls of the Schwyz, Fribourg and spotted Simmental breeds",6,116338,"2012-01-01 00:00:00",NULL," - - - - - - Bulls of the Schwyz, Fribourg and spotted Simmental breeds","01",1,"0102292950","1",10
94072,"0102292990","80","2012-01-01 00:00:00",NULL,"Other",6,116339,"2012-01-01 00:00:00",NULL," - - - - - - Other","01",1,"0102292990","1",10
94073,"0102294100","10","2012-01-01 00:00:00",NULL,"Of a weight exceeding 160|kg but not exceeding 300|kg",4,147435,"2019-01-01 00:00:00",NULL," - - - - Of a weight exceeding 160|kg but not exceeding 300|kg","01",1,"01022941","0",8
94074,"0102294100","80","2012-01-01 00:00:00",NULL,"For slaughter",5,121703,"2014-01-01 00:00:00",NULL," - - - - - For slaughter","01",1,"01022941","1",8
94075,"0102294900","80","2012-01-01 00:00:00",NULL,"Other",5,121704,"2014-01-01 00:00:00",NULL," - - - - - Other","01",1,"01022949","0",8
94076,"0102294910","80","2012-01-01 00:00:00",NULL,"Young male bovine animals, intended for fattening",6,116343,"2012-01-01 00:00:00",NULL," - - - - - - Young male bovine animals, intended for fattening","01",1,"0102294910","1",10
94077,"0102294920","80","2012-01-01 00:00:00",NULL,"Heifers and cows of the grey, brown or yellow mountain breeds and spotted Pinzgau breed",6,116344,"2012-01-01 00:00:00",NULL," - - - - - - Heifers and cows of the grey, brown or yellow mountain breeds and spotted Pinzgau breed","01",1,"0102294920","1",10
94078,"0102294930","80","2012-01-01 00:00:00",NULL,"Heifers and cows of the Schwyz and Fribourg breeds",6,116345,"2012-01-01 00:00:00",NULL," - - - - - - Heifers and cows of the Schwyz and Fribourg breeds","01",1,"0102294930","1",10
94079,"0102294940","80","2012-01-01 00:00:00",NULL,"Heifers and cows of the spotted Simmental breed",6,116346,"2012-01-01 00:00:00",NULL," - - - - - - Heifers and cows of the spotted Simmental breed","01",1,"0102294940","1",10
94080,"0102294950","80","2012-01-01 00:00:00",NULL,"Bulls of the Schwyz, Fribourg and spotted Simmental breeds",6,116347,"2012-01-01 00:00:00",NULL," - - - - - - Bulls of the Schwyz, Fribourg and spotted Simmental breeds","01",1,"0102294950","1",10
94081,"0102294990","80","2012-01-01 00:00:00",NULL,"Other",6,116348,"2012-01-01 00:00:00",NULL," - - - - - - Other","01",1,"0102294990","1",10
94082,"0102295100","10","2012-01-01 00:00:00",NULL,"Of a weight exceeding 300|kg",4,147436,"2019-01-01 00:00:00",NULL," - - - - Of a weight exceeding 300|kg","01",1,"01022951","0",8
94083,"0102295100","20","2012-01-01 00:00:00",NULL,"Heifers (female bovines that have never calved)",5,121706,"2014-01-01 00:00:00",NULL," - - - - - Heifers (female bovines that have never calved)","01",1,"01022951","0",8
94084,"0102295100","80","2012-01-01 00:00:00",NULL,"For slaughter",6,121707,"2014-01-01 00:00:00",NULL," - - - - - - For slaughter","01",1,"01022951","0",8
94085,"0102295110","80","2012-01-01 00:00:00",NULL,"Not yet having any permanent teeth, of a weight of not less than 320|kg but not more than 470|kg",7,116352,"2012-01-01 00:00:00",NULL," - - - - - - - Not yet having any permanent teeth, of a weight of not less than 320|kg but not more than 470|kg","01",1,"0102295110","1",10
94086,"0102295190","80","2012-01-01 00:00:00",NULL,"Other",7,116353,"2012-01-01 00:00:00",NULL," - - - - - - - Other","01",1,"0102295190","1",10
94087,"0102295900","80","2012-01-01 00:00:00",NULL,"Other",6,121708,"2014-01-01 00:00:00",NULL," - - - - - - Other","01",1,"01022959","0",8
94088,"0102295911","10","2012-01-01 00:00:00",NULL,"Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed",7,116355,"2012-01-01 00:00:00",NULL," - - - - - - - Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed","01",1,"0102295911","0",10
94089,"0102295911","80","2012-01-01 00:00:00",NULL,"Not yet having any permanent teeth, of a weight of not less than 320|kg but not more than 470|kg",8,116356,"2012-01-01 00:00:00",NULL," - - - - - - - - Not yet having any permanent teeth, of a weight of not less than 320|kg but not more than 470|kg","01",1,"0102295911","1",10
94090,"0102295919","80","2012-01-01 00:00:00",NULL,"Other",8,116357,"2012-01-01 00:00:00",NULL," - - - - - - - - Other","01",1,"0102295919","1",10
94091,"0102295921","10","2012-01-01 00:00:00",NULL,"Of the Schwyz and Fribourg breeds",7,116358,"2012-01-01 00:00:00",NULL," - - - - - - - Of the Schwyz and Fribourg breeds","01",1,"0102295921","0",10
94092,"0102295921","80","2012-01-01 00:00:00",NULL,"Not yet having any permanent teeth, of a weight of not less than 320|kg but not more than 470|kg",8,116359,"2012-01-01 00:00:00",NULL," - - - - - - - - Not yet having any permanent teeth, of a weight of not less than 320|kg but not more than 470|kg","01",1,"0102295921","1",10
94093,"0102295929","80","2012-01-01 00:00:00",NULL,"Other",8,116360,"2012-01-01 00:00:00",NULL," - - - - - - - - Other","01",1,"0102295929","1",10
94094,"0102295931","10","2012-01-01 00:00:00",NULL,"Of the spotted Simmental breed",7,116361,"2012-01-01 00:00:00",NULL," - - - - - - - Of the spotted Simmental breed","01",1,"0102295931","0",10
94095,"0102295931","80","2012-01-01 00:00:00",NULL,"Not yet having any permanent teeth, of a weight of not less than 320|kg but not more than 470|kg",8,116362,"2012-01-01 00:00:00",NULL," - - - - - - - - Not yet having any permanent teeth, of a weight of not less than 320|kg but not more than 470|kg","01",1,"0102295931","1",10
94096,"0102295939","80","2012-01-01 00:00:00",NULL,"Other",8,116363,"2012-01-01 00:00:00",NULL," - - - - - - - - Other","01",1,"0102295939","1",10
94097,"0102295991","10","2012-01-01 00:00:00",NULL,"Other",7,116364,"2012-01-01 00:00:00",NULL," - - - - - - - Other","01",1,"0102295991","0",10
94098,"0102295991","80","2012-01-01 00:00:00",NULL,"Not yet having any permanent teeth, of a weight of not less than 320|kg but not more than 470|kg",8,116365,"2012-01-01 00:00:00",NULL," - - - - - - - - Not yet having any permanent teeth, of a weight of not less than 320|kg but not more than 470|kg","01",1,"0102295991","1",10
94099,"0102295999","80","2012-01-01 00:00:00",NULL,"Other",8,116366,"2012-01-01 00:00:00",NULL," - - - - - - - - Other","01",1,"0102295999","1",10
94100,"0102296100","10","2012-01-01 00:00:00",NULL,"Cows",5,121709,"2014-01-01 00:00:00",NULL," - - - - - Cows","01",1,"01022961","0",8
94101,"0102296100","80","2012-01-01 00:00:00",NULL,"For slaughter",6,121710,"2014-01-01 00:00:00",NULL," - - - - - - For slaughter","01",1,"01022961","1",8
94102,"0102296900","80","2012-01-01 00:00:00",NULL,"Other",6,121711,"2014-01-01 00:00:00",NULL," - - - - - - Other","01",1,"01022969","0",8
94103,"0102296910","80","2012-01-01 00:00:00",NULL,"Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed",7,116370,"2012-01-01 00:00:00",NULL," - - - - - - - Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed","01",1,"0102296910","1",10
94104,"0102296920","80","2012-01-01 00:00:00",NULL,"Of the Schwyz and Fribourg breeds",7,116371,"2012-01-01 00:00:00",NULL," - - - - - - - Of the Schwyz and Fribourg breeds","01",1,"0102296920","1",10
94105,"0102296930","80","2012-01-01 00:00:00",NULL,"Of the spotted Simmental breed",7,116372,"2012-01-01 00:00:00",NULL," - - - - - - - Of the spotted Simmental breed","01",1,"0102296930","1",10
94106,"0102296990","80","2012-01-01 00:00:00",NULL,"Other",7,116373,"2012-01-01 00:00:00",NULL," - - - - - - - Other","01",1,"0102296990","1",10
94118,"0102299100","10","2012-01-01 00:00:00",NULL,"Other",5,121712,"2014-01-01 00:00:00",NULL," - - - - - Other","01",1,"01022991","0",8
94119,"0102299100","80","2012-01-01 00:00:00",NULL,"For slaughter",6,121713,"2014-01-01 00:00:00",NULL," - - - - - - For slaughter","01",1,"01022991","0",8
94120,"0102299110","80","2012-01-01 00:00:00",NULL,"Not yet having any permanent teeth, of a weight of not less than 350|kg but not more than 500|kg",7,116387,"2012-01-01 00:00:00",NULL," - - - - - - - Not yet having any permanent teeth, of a weight of not less than 350|kg but not more than 500|kg","01",1,"0102299110","1",10
94121,"0102299190","80","2012-01-01 00:00:00",NULL,"Other",7,116388,"2012-01-01 00:00:00",NULL," - - - - - - - Other","01",1,"0102299190","1",10
94122,"0102299900","80","2012-01-01 00:00:00",NULL,"Other",6,121714,"2014-01-01 00:00:00",NULL," - - - - - - Other","01",1,"01022999","0",8
94123,"0102299921","10","2012-01-01 00:00:00",NULL,"Bulls of the Schwyz, Fribourg and spotted Simmental breeds",7,116390,"2012-01-01 00:00:00",NULL," - - - - - - - Bulls of the Schwyz, Fribourg and spotted Simmental breeds","01",1,"0102299921","0",10
94124,"0102299921","80","2012-01-01 00:00:00",NULL,"Not yet having any permanent teeth, of a weight of not less than 350 kg but not more than 500 kg",8,116391,"2012-01-01 00:00:00",NULL," - - - - - - - - Not yet having any permanent teeth, of a weight of not less than 350 kg but not more than 500 kg","01",1,"0102299921","1",10
94125,"0102299929","80","2012-01-01 00:00:00",NULL,"Other",8,116392,"2012-01-01 00:00:00",NULL," - - - - - - - - Other","01",1,"0102299929","1",10
94126,"0102299991","10","2012-01-01 00:00:00",NULL,"Other",7,116393,"2012-01-01 00:00:00",NULL," - - - - - - - Other","01",1,"0102299991","0",10
94127,"0102299991","80","2012-01-01 00:00:00",NULL,"Not yet having any permanent teeth, of a weight of not less than 350|kg but not more than 500|kg",8,116394,"2012-01-01 00:00:00",NULL," - - - - - - - - Not yet having any permanent teeth, of a weight of not less than 350|kg but not more than 500|kg","01",1,"0102299991","1",10
94128,"0102299999","80","2012-01-01 00:00:00",NULL,"Other",8,116395,"2012-01-01 00:00:00",NULL," - - - - - - - - Other","01",1,"0102299999","1",10
94054,"0102310000","10","2012-01-01 00:00:00",NULL,"Buffalo",1,147437,"2019-01-01 00:00:00",NULL," - Buffalo","01",1,"010231","0",6
94051,"0102310000","80","2012-01-01 00:00:00",NULL,"Pure-bred breeding animals",2,147438,"2019-01-01 00:00:00",NULL," - - Pure-bred breeding animals","01",1,"010231","1",6
94055,"0102390000","80","2012-01-01 00:00:00",NULL,"Other",2,143798,"2018-01-01 00:00:00",NULL," - - Other","01",1,"010239","0",6
94129,"0102391000","80","2012-01-01 00:00:00",NULL,"Domestic species",3,147439,"2019-01-01 00:00:00",NULL," - - - Domestic species","01",1,"01023910","0",8
96165,"0102391010","80","2012-01-01 00:00:00",NULL,"Of a weight exceeding 160 kg",4,118471,"2012-01-01 00:00:00",NULL," - - - - Of a weight exceeding 160 kg","01",1,"0102391010","1",10
96167,"0102391090","80","2012-01-01 00:00:00",NULL,"Other",4,118473,"2012-01-01 00:00:00",NULL," - - - - Other","01",1,"0102391090","1",10
94130,"0102399000","80","2012-01-01 00:00:00",NULL,"Other",3,143799,"2018-01-01 00:00:00",NULL," - - - Other","01",1,"01023990","1",8
27638,"0102900000","80","1972-01-01 00:00:00",NULL,"Other",1,121720,"2014-01-01 00:00:00",NULL," - Other","01",1,"010290","0",6
94052,"0102902000","80","2012-01-01 00:00:00",NULL,"Pure-bred breeding animals",2,147440,"2019-01-01 00:00:00",NULL," - - Pure-bred breeding animals","01",1,"01029020","1",8
94131,"0102909100","10","2012-01-01 00:00:00",NULL,"Other",2,121722,"2014-01-01 00:00:00",NULL," - - Other","01",1,"01029091","0",8
94132,"0102909100","80","2012-01-01 00:00:00",NULL,"Domestic species",3,147441,"2019-01-01 00:00:00",NULL," - - - Domestic species","01",1,"01029091","0",8
96168,"0102909110","80","2012-01-01 00:00:00",NULL,"Of a weight exceeding 160 kg",4,118474,"2012-01-01 00:00:00",NULL," - - - - Of a weight exceeding 160 kg","01",1,"0102909110","1",10
96166,"0102909190","80","2012-01-01 00:00:00",NULL,"Other",4,118472,"2012-01-01 00:00:00",NULL," - - - - Other","01",1,"0102909190","1",10
94133,"0102909900","80","2012-01-01 00:00:00",NULL,"Other",3,121724,"2014-01-01 00:00:00",NULL," - - - Other","01",1,"01029099","1",8
27762,"0103000000","80","1972-01-01 00:00:00",NULL,"Live swine",0,31103,"1972-01-01 00:00:00",NULL," Live swine","01",1,"0103","0",4
27763,"0103100000","80","1972-01-01 00:00:00",NULL,"Pure-bred breeding animals",1,121725,"2014-01-01 00:00:00",NULL," - Pure-bred breeding animals","01",1,"010310","1",6
27764,"0103910000","10","1972-01-01 00:00:00",NULL,"Other",1,143800,"2018-01-01 00:00:00",NULL," - Other","01",1,"010391","0",6
27765,"0103910000","80","1972-01-01 00:00:00",NULL,"Weighing less than 50|kg",2,121727,"2014-01-01 00:00:00",NULL," - - Weighing less than 50|kg","01",1,"010391","0",6
27766,"0103911000","80","1972-01-01 00:00:00",NULL,"Domestic species",3,121728,"2014-01-01 00:00:00",NULL," - - - Domestic species","01",1,"01039110","1",8
27767,"0103919000","80","1972-01-01 00:00:00",NULL,"Other",3,143801,"2018-01-01 00:00:00",NULL," - - - Other","01",1,"01039190","1",8
27768,"0103920000","80","1972-01-01 00:00:00",NULL,"Weighing 50|kg or more",2,121730,"2014-01-01 00:00:00",NULL," - - Weighing 50|kg or more","01",1,"010392","0",6
27769,"0103921100","10","1989-01-01 00:00:00",NULL,"Domestic species",3,121731,"2014-01-01 00:00:00",NULL," - - - Domestic species","01",1,"01039211","0",8
27770,"0103921100","80","1972-01-01 00:00:00",NULL,"Sows having farrowed at least once, of a weight of not less than 160|kg",4,147442,"2019-01-01 00:00:00",NULL," - - - - Sows having farrowed at least once, of a weight of not less than 160|kg","01",1,"01039211","1",8
27771,"0103921900","80","1972-01-01 00:00:00",NULL,"Other",4,143802,"2018-01-01 00:00:00",NULL," - - - - Other","01",1,"01039219","1",8
27772,"0103929000","80","1972-01-01 00:00:00",NULL,"Other",3,143803,"2018-01-01 00:00:00",NULL," - - - Other","01",1,"01039290","1",8
27773,"0104000000","80","1972-01-01 00:00:00",NULL,"Live sheep and goats",0,31114,"1972-01-01 00:00:00",NULL," Live sheep and goats","01",1,"0104","0",4
27774,"0104100000","80","1972-01-01 00:00:00",NULL,"Sheep",1,121735,"2014-01-01 00:00:00",NULL," - Sheep","01",1,"010410","0",6
27775,"0104101000","80","1972-01-01 00:00:00",NULL,"Pure-bred breeding animals",2,121736,"2014-01-01 00:00:00",NULL," - - Pure-bred breeding animals","01",1,"01041010","1",8
27776,"0104103000","10","1993-01-01 00:00:00",NULL,"Other",2,143804,"2018-01-01 00:00:00",NULL," - - Other","01",1,"01041030","0",8
27777,"0104103000","80","1993-01-01 00:00:00",NULL,"Lambs (up to a year old)",3,121738,"2014-01-01 00:00:00",NULL," - - - Lambs (up to a year old)","01",1,"01041030","1",8
27778,"0104108000","80","1993-01-01 00:00:00",NULL,"Other",3,143805,"2018-01-01 00:00:00",NULL," - - - Other","01",1,"01041080","1",8
27780,"0104200000","80","1972-01-01 00:00:00",NULL,"Goats",1,121740,"2014-01-01 00:00:00",NULL," - Goats","01",1,"010420","0",6
27781,"0104201000","80","1972-01-01 00:00:00",NULL,"Pure-bred breeding animals",2,121741,"2014-01-01 00:00:00",NULL," - - Pure-bred breeding animals","01",1,"01042010","1",8
27782,"0104209000","80","1972-01-01 00:00:00",NULL,"Other",2,143806,"2018-01-01 00:00:00",NULL," - - Other","01",1,"01042090","1",8
27783,"0105000000","80","1972-01-01 00:00:00",NULL,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls",0,140132,"2017-01-01 00:00:00",NULL," Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls","01",1,"0105","0",4
27784,"0105110000","10","1972-01-01 00:00:00",NULL,"Weighing not more than 185|g",1,121744,"2014-01-01 00:00:00",NULL," - Weighing not more than 185|g","01",1,"010511","0",6
27785,"0105110000","80","1972-01-01 00:00:00",NULL,"Fowls of the species Gallus domesticus",2,140133,"2017-01-01 00:00:00",NULL," - - Fowls of the species Gallus domesticus","01",1,"010511","0",6
27786,"0105111100","10","1993-01-01 00:00:00",NULL,"Grandparent and parent female chicks",3,121746,"2014-01-01 00:00:00",NULL," - - - Grandparent and parent female chicks","01",1,"01051111","0",8
27787,"0105111100","80","1993-01-01 00:00:00",NULL,"Laying stocks",4,121747,"2014-01-01 00:00:00",NULL," - - - - Laying stocks","01",1,"01051111","1",8
27788,"0105111900","80","1993-01-01 00:00:00",NULL,"Other",4,143807,"2018-01-01 00:00:00",NULL," - - - - Other","01",1,"01051119","1",8
27789,"0105119100","10","1993-01-01 00:00:00",NULL,"Other",3,121749,"2014-01-01 00:00:00",NULL," - - - Other","01",1,"01051191","0",8
27790,"0105119100","80","1993-01-01 00:00:00",NULL,"Laying stocks",4,121750,"2014-01-01 00:00:00",NULL," - - - - Laying stocks","01",1,"01051191","1",8
27791,"0105119900","80","1993-01-01 00:00:00",NULL,"Other",4,121751,"2014-01-01 00:00:00",NULL," - - - - Other","01",1,"01051199","1",8
59201,"0105120000","80","1996-01-01 00:00:00",NULL,"Turkeys",2,121752,"2014-01-01 00:00:00",NULL," - - Turkeys","01",1,"010512","1",6
94185,"0105130000","80","2012-01-01 00:00:00",NULL,"Ducks",2,121753,"2014-01-01 00:00:00",NULL," - - Ducks","01",1,"010513","1",6
94186,"0105140000","80","2012-01-01 00:00:00",NULL,"Geese",2,121754,"2014-01-01 00:00:00",NULL," - - Geese","01",1,"010514","1",6
94187,"0105150000","80","2012-01-01 00:00:00",NULL,"Guinea fowls",2,140134,"2017-01-01 00:00:00",NULL," - - Guinea fowls","01",1,"010515","1",6
85304,"0105940000","10","2007-01-01 00:00:00",NULL,"Other",1,121756,"2014-01-01 00:00:00",NULL," - Other","01",1,"010594","0",6
85305,"0105940000","80","2007-01-01 00:00:00",NULL,"Fowls of the species Gallus domesticus",2,140135,"2017-01-01 00:00:00",NULL," - - Fowls of the species Gallus domesticus","01",1,"010594","1",6
27797,"0105990000","80","1972-01-01 00:00:00",NULL,"Other",2,121758,"2014-01-01 00:00:00",NULL," - - Other","01",1,"010599","0",6
27798,"0105991000","80","1972-01-01 00:00:00",NULL,"Ducks",3,121759,"2014-01-01 00:00:00",NULL," - - - Ducks","01",1,"01059910","1",8
27799,"0105992000","80","1972-01-01 00:00:00",NULL,"Geese",3,121760,"2014-01-01 00:00:00",NULL," - - - Geese","01",1,"01059920","1",8
27800,"0105993000","80","1972-01-01 00:00:00",NULL,"Turkeys",3,121761,"2014-01-01 00:00:00",NULL," - - - Turkeys","01",1,"01059930","1",8
27801,"0105995000","80","1972-01-01 00:00:00",NULL,"Guinea fowls",3,121762,"2014-01-01 00:00:00",NULL," - - - Guinea fowls","01",1,"01059950","1",8
27802,"0106000000","80","1972-01-01 00:00:00",NULL,"Other live animals",0,31144,"1972-01-01 00:00:00",NULL," Other live animals","01",1,"0106","0",4
72769,"0106110000","10","2002-01-01 00:00:00",NULL,"Mammals",1,121763,"2014-01-01 00:00:00",NULL," - Mammals","01",1,"010611","0",6
72770,"0106110000","80","2002-01-01 00:00:00",NULL,"Primates",2,121764,"2014-01-01 00:00:00",NULL," - - Primates","01",1,"010611","1",6
72771,"0106120000","80","2002-01-01 00:00:00",NULL,"Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)",2,147443,"2019-01-01 00:00:00",NULL," - - Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)","01",1,"010612","1",6
94188,"0106130000","80","2012-01-01 00:00:00",NULL,"Camels and other camelids (Camelidae)",2,143808,"2018-01-01 00:00:00",NULL," - - Camels and other camelids (Camelidae)","01",1,"010613","1",6
94189,"0106140000","80","2012-01-01 00:00:00",NULL,"Rabbits and hares",2,121767,"2014-01-01 00:00:00",NULL," - - Rabbits and hares","01",1,"010614","0",6
94190,"0106141000","80","2012-01-01 00:00:00",NULL,"Domestic rabbits",3,121768,"2014-01-01 00:00:00",NULL," - - - Domestic rabbits","01",1,"01061410","1",8
94191,"0106149000","80","2012-01-01 00:00:00",NULL,"Other",3,143809,"2018-01-01 00:00:00",NULL," - - - Other","01",1,"01061490","1",8
72772,"0106190000","80","2002-01-01 00:00:00",NULL,"Other",2,143810,"2018-01-01 00:00:00",NULL," - - Other","01",1,"010619","1",6
72775,"0106200000","80","2002-01-01 00:00:00",NULL,"Reptiles (including snakes and turtles)",1,134979,"2015-01-01 00:00:00",NULL," - Reptiles (including snakes and turtles)","01",1,"010620","1",6
72776,"0106310000","10","2002-01-01 00:00:00",NULL,"Birds",1,90599,"2002-01-01 00:00:00",NULL," - Birds","01",1,"010631","0",6
72777,"0106310000","80","2002-01-01 00:00:00",NULL,"Birds of prey",2,121772,"2014-01-01 00:00:00",NULL," - - Birds of prey","01",1,"010631","1",6
72778,"0106320000","80","2002-01-01 00:00:00",NULL,"Psittaciformes (including parrots, parakeets, macaws and cockatoos)",2,140138,"2017-01-01 00:00:00",NULL," - - Psittaciformes (including parrots, parakeets, macaws and cockatoos)","01",1,"010632","1",6
94192,"0106330000","80","2012-01-01 00:00:00",NULL,"Ostriches; emus (Dromaius novaehollandiae)",2,121774,"2014-01-01 00:00:00",NULL," - - Ostriches; emus (Dromaius novaehollandiae)","01",1,"010633","1",6
