Commodity,Ad Valorem,Specific,Min
1701131000,,33.9 EUR/100 kg std qual,
1701139000,,41.9 EUR/100 kg,
1701141000,,33.9 EUR/100 kg std qual,
1701149000,,41.9 EUR/100 kg,
1701991000,,41.9 EUR/100 kg,
1701999000,,41.9 EUR/100 kg,
1703100000,1.498,,
1803100000,9.6,,
1804000000,7.7,,
1902209900,,8.3 % + 17.1 EUR/100 kg,
2204291000,,32 EUR/hl,
2204292200,,12.1 EUR/hl,
2204292300,,12.1 EUR/hl,
2204292400,,12.1 EUR/hl,
2204292600,,12.1 EUR/hl,
2204292700,,12.1 EUR/hl,
2204292800,,12.1 EUR/hl,
2204293200,,12.1 EUR/hl,
2204293800,,12.1 EUR/hl,
2204297800,,12.1 EUR/hl,
2204297900,,12.1 EUR/hl,
2204298000,,12.1 EUR/hl,
2204298100,,12.1 EUR/hl,
2204298200,,12.1 EUR/hl,
2204298300,,12.1 EUR/hl,
2204298400,,12.1 EUR/hl,
2204298500,,13.1 EUR/hl,
2204298600,,13.1 EUR/hl,
2204298800,,20.9 EUR/hl,
2204299000,,20.9 EUR/hl,
2204299100,,20.9 EUR/hl,
2204299300,,20.9 EUR/hl,
2204299400,,20.9 EUR/hl,
2204299500,,20.9 EUR/hl,
2204299600,,20.9 EUR/hl,
2204299700,,20.9 EUR/hl,
2204299800,,20.9 EUR/hl,
2206001000,,1.3 EUR/% vol/hl,7.2 EUR/hl
2206003100,,19.2 EUR/hl,
2206003900,,19.2 EUR/hl,
2206005100,,7.7 EUR/hl,
2206005900,,7.7 EUR/hl,
2206008100,,5.76 EUR/hl,
2206008900,,5.76 EUR/hl,
2208401100,,0.6 EUR/% vol/hl + 3.2 EUR/hl,
2208403100,0,,
2208403900,,0.6 EUR/% vol/hl + 3.2 EUR/hl,
2208405100,,0.6 EUR/% vol/hl,
2208409100,0,,
2208409900,,0.6 EUR/% vol/hl,
3105510000,6.5,,
4203291000,9,,
4203299000,7,,
5703100000,8,,
5703201200,8,,
5703201800,8,,
5703209200,8,,
5703209800,8,,
5703301200,8,,
5703301800,8,,
5703308200,8,,
5703308800,8,,
5705003000,8,,
5705008000,8,,
6103310000,12,,
6103320000,12,,
6103330000,12,,
6103390000,12,,
6103420000,12,,
6103430000,12,,
6103490000,12,,
6105100000,12,,
6105201000,12,,
6105209000,12,,
6105901000,12,,
6105909000,12,,
6107110000,12,,
6107120000,12,,
6107210000,12,,
6107220000,12,,
6108210000,12,,
6108220000,12,,
6108310000,12,,
6108320000,12,,
6108920000,12,,
6109100000,12,,
6110201000,12,,
6110209100,12,,
6110209900,12,,
6110301000,12,,
6110309100,12,,
6110309900,12,,
6111201000,8.9,,
6111209000,12,,
6111301000,8.9,,
6111309000,12,,
6114200000,12,,
6116102000,8,,
6116108000,8.9,,
6203310000,12,,
6203321000,12,,
6203329000,12,,
6203331000,12,,
6203339000,12,,
6203421100,12,,
6203423100,12,,
6203423300,12,,
6203423500,12,,
6203425100,12,,
6203425900,12,,
6203429000,12,,
6203431100,12,,
6203431900,12,,
6203433100,12,,
6203433900,12,,
6203439000,12,,
6203491100,12,,
6203491900,12,,
6203493100,12,,
6203493900,12,,
6203495000,12,,
6203499000,12,,
6204621100,12,,
6204623100,12,,
6204623300,12,,
6204623900,12,,
6204625100,12,,
6204625900,12,,
6204629000,12,,
6204631100,12,,
6204631800,12,,
6204633100,12,,
6204633900,12,,
6204639000,12,,
6204691100,12,,
6204691800,12,,
6204693100,12,,
6204693900,12,,
6204695000,12,,
6204699000,12,,
6205200000,12,,
6205300000,12,,
6208210000,12,,
6208220000,12,,
6209200000,10.5,,
6211110000,12,,
6212101000,6.5,,
6212109000,6.5,,
6302221000,6.9,,
6302229000,12,,
6302310000,12,,
6302321000,6.9,,
6302329000,12,,
6302392000,12,,
6302399000,12,,
6302600000,12,,
6302910000,12,,
7019120000,7,,
7019310000,7,,
8701201000,16,,
8701209000,16,,
8702101100,16,,
8702101900,16,,
8702109100,10,,
8702109900,10,,
8703211000,10,,
8703219000,10,,
8703221000,10,,
8703229000,10,,
8703231100,10,,
8703231900,10,,
8703239000,10,,
8703241000,10,,
8703249000,10,,
8703311000,10,,
8703319000,10,,
8703321100,10,,
8703321900,10,,
8703329000,10,,
8703331100,10,,
8703331900,10,,
8703339000,10,,
8703900000,10,,
8704211000,3.5,,
8704213100,22,,
8704213900,22,,
8704219100,10,,
8704219900,10,,
8704221000,3.5,,
8704229100,22,,
8704229900,22,,
8704231000,3.5,,
8704239100,22,,
8704239900,22,,
8704900000,10,,
8711201000,8,,
8711209200,8,,
8711209800,8,,
8711301000,6,,
8711309000,6,,
8711400000,6,,
8711500000,6,,
8802110000,3.75,,
