SID,Measure type,Commodity,Additional code,Geography,Valid dates,Order number,Measure components,Conditions,Footnotes
3632114,[122] Non preferential tariff quota,0204210000,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3632030,[122] Non preferential tariff quota,0204210000,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3632056,[122] Non preferential tariff quota,0204210000,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3632004,[122] Non preferential tariff quota,0204210000,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3631978,[122] Non preferential tariff quota,0204210000,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3631952,[122] Non preferential tariff quota,0204210000,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3632140,[122] Non preferential tariff quota,0204210000,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3632115,[122] Non preferential tariff quota,0204220000,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3632057,[122] Non preferential tariff quota,0204220000,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3632005,[122] Non preferential tariff quota,0204220000,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3632031,[122] Non preferential tariff quota,0204220000,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3632141,[122] Non preferential tariff quota,0204220000,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3631979,[122] Non preferential tariff quota,0204220000,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3631953,[122] Non preferential tariff quota,0204220000,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3632142,[122] Non preferential tariff quota,0204230011,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3632116,[122] Non preferential tariff quota,0204230011,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3631954,[122] Non preferential tariff quota,0204230011,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3632058,[122] Non preferential tariff quota,0204230011,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3632032,[122] Non preferential tariff quota,0204230011,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3631980,[122] Non preferential tariff quota,0204230011,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3632006,[122] Non preferential tariff quota,0204230011,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3632117,[122] Non preferential tariff quota,0204230019,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3631981,[122] Non preferential tariff quota,0204230019,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3632033,[122] Non preferential tariff quota,0204230019,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3632059,[122] Non preferential tariff quota,0204230019,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3631955,[122] Non preferential tariff quota,0204230019,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3632143,[122] Non preferential tariff quota,0204230019,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3632007,[122] Non preferential tariff quota,0204230019,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3631982,[122] Non preferential tariff quota,0204230091,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3632060,[122] Non preferential tariff quota,0204230091,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3632118,[122] Non preferential tariff quota,0204230091,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3631956,[122] Non preferential tariff quota,0204230091,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3632144,[122] Non preferential tariff quota,0204230091,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
3632034,[122] Non preferential tariff quota,0204230091,,01/05/2018 - 31/12/2018,,[01] 0.00%,Condition [B1] Presentation of a certificate/licence/document : Document [C] Action [27] Apply the mentioned duty : ||Condition [B2] Presentation of a certificate/licence/document : Action [07] Measure not applicable :,"CD382: (Conditions) Access to the tariff quota shall be conditional on presentation of a document issued by the competent authority or agency in the third country of origin. This document is setting out the following: (a) the name of the consigner; (b) the type of product and its CN code; (c) the number of packages, their nature and the marks and numbers they bear; (d) the order number or order numbers of the tariff quota concerned; (e) the total net weight broken down per coefficient category as provided for in Article 3(2) of Regulation (EU) No 1354/2011."
